,Title,Authors,Journal,Year,DOI,Source,Publications,Yes No
0,the effects of maximum ambient temperature and heatwaves on dengue infections in the tropical city-state of singapore - a time series analysis,"Seah, A",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.145117,WoS,9,0
1,"abnormal ambient temperature change increases the risk of out-of-hospital cardiac arrest: a systematic review and meta-analysis of exposure types, risk, and vulnerable populations","Wu, QY",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2022.160554,WoS,9,1
2,anthropogenic climate change exacerbates the risk of successive flood-heat extremes: multi-model global projections based on the inter-sectoral impact model intercomparison project,"Zhou, J",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.164274,WoS,9,0
3,"immediate and delayed effects of a heatwave and<i> prorocentrum</i><i> lima</i> ((ehrenberg) stein 1878) bloom on the toxin accumulation, physiology, and survival of the oyster<i> magallana</i><i> gigas</i> (thunberg, 1793)","Funesto, EGM",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.164485,WoS,9,0
4,"perceptions of heat-health impacts and the effects of knowledge and preventive actions by outdoor workers in hanoi, vietnam","Lohrey, S",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.148260,WoS,9,0
5,environmental heat-related health symptoms among community in a tropical city,"Aghamohammadi, N",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.146611,WoS,9,0
6,geographical disparities in the impacts of heat on diabetes mortality and the protective role of greenness in thailand: a nationwide case-crossover analysis,"He, YL",SCIENCE OF THE TOTAL ENVIRONMENT,2020,10.1016/j.scitotenv.2019.135098,WoS,9,0
7,evidence of alliesthesia during a neighborhood thermal walk in a hot and dry city,"Dzyuban, Y",SCIENCE OF THE TOTAL ENVIRONMENT,2022,10.1016/j.scitotenv.2022.155294,WoS,9,0
8,environmental impacts and greenhouse gas emissions assessment for energy recovery and material recycle of the wastewater treatment plant,"Nguyen, TKL",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.147135,WoS,9,0
9,employing gridded-based dataset for heatwave assessment and future projection in peninsular malaysia,"Sa'adi, Z",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04946-2,WoS,9,1
10,appraising the historical and projected spatiotemporal changes in the heat index in bangladesh,"Rahman, MB",THEORETICAL AND APPLIED CLIMATOLOGY,2021,10.1007/s00704-021-03705-x,WoS,9,0
11,spatiotemporal trends of temperature extremes in bangladesh under changing climate using multi-statistical techniques,"Mallick, J",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-021-03828-1,WoS,9,0
12,the unsung role of sst in simulating mesoscale events: an evaluation of august 2018 extreme rainfall over kerala using wrf model,"Thomas, L",THEORETICAL AND APPLIED CLIMATOLOGY,2023,10.1007/s00704-022-04308-w,WoS,9,0
13,evaluation of heat stress threshold and impacts on milk yield in dairy cattle crossbreds in a hot and humid climate,"Michael, P",THEORETICAL AND APPLIED CLIMATOLOGY,2023,10.1007/s00704-023-04549-3,WoS,9,0
14,"patterns and drivers of heavy and extreme hourly rainfall events over metro manila, philippines","Taña, EAS",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04899-6,WoS,9,0
15,investigating the relationship between land alteration and the urban heat island of seville city using multi-temporal landsat data,"Halder, B",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-022-04180-8,WoS,9,0
16,delineation of urban expansion and drought-prone areas using vegetation conditions and other geospatial indices,"Halder, B",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-022-04108-2,WoS,9,0
17,variability of climate-induced rice yields in northwest bangladesh using multiple statistical modeling,"Islam, AMT",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-021-03909-1,WoS,9,0
18,climate change over indonesia and its impact on nutmeg production: an analysis under high-resolution cordex-core regional simulation framework,"Anripa, N",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2023,10.1002/joc.8098,WoS,8,0
19,changes in temperature extremes and their relationship withensoin malaysia from 1985 to 2018,"Tan, ML",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2021,10.1002/joc.6864,WoS,8,1
20,future exposure of rainfall and temperature extremes to the most populous island of indonesia: a projection based on cordex simulation,"Hendrawan, VSA",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2024,10.1002/joc.8537,WoS,8,0
21,simplified equations for wet bulb globe temperature estimation in bangladesh,"Kamal, ASMM",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2024,10.1002/joc.8402,WoS,8,0
22,impact of solar geoengineering on temperatures over the indonesian maritime continent,"Kuswanto, H",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7391,WoS,8,0
23,the effect of urbanization on temperature indices in the philippines,"Manalo, JA",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7276,WoS,8,1
24,spatial and temporal characteristics of near-surface air temperature across local climate zones in a tropical city,"Roth, M",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7862,WoS,8,1
25,global pattern of short-term concurrent hot and dry extremes and its relationship to large-scale climate indices,"Zhang, HY",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2020,10.1002/joc.6555,WoS,8,1
26,valuation of a heatwave early warning system for mitigating risks associated with heat-related illness in central vietnam,"Kien, ND",SUSTAINABILITY,2023,10.3390/su152115342,WoS,8,1
27,sensitivity of photosynthesis to warming in two similar species of the aquatic angiosperm <i>ruppia</i> from tropical and temperate habitats,"Rasmusson, LM",SUSTAINABILITY,2021,10.3390/su13169433,WoS,8,0
28,"spatial planning and systems thinking tools for climate risk reduction: a case study of the andaman coast, thailand","McMillan, JM",SUSTAINABILITY,2022,10.3390/su14138022,WoS,8,0
29,changes in concurrent meteorological extremes of rainfall and heat under divergent climatic trajectories in the guangdong-hong kong-macao greater bay area,"Wang, M",SUSTAINABILITY,2024,10.3390/su16052153,WoS,8,0
30,applications of models and tools for mesoscale and microscale thermal analysis in mid-latitude climate regions-a review,"Lobaccaro, G",SUSTAINABILITY,2021,10.3390/su132212385,WoS,8,0
31,synthesizing multi-layer perceptron network with ant lion biogeography-based dragonfly algorithm evolutionary strategy invasive weed and league champion optimization hybrid algorithms in predicting heating load in residential buildings,"Moayedi, H",SUSTAINABILITY,2021,10.3390/su13063198,WoS,8,0
32,a comparative study of cooling performance and thermal comfort under street market shades and tree canopies in tropical savanna climate,"Jareemit, D",SUSTAINABILITY,2022,10.3390/su14084653,WoS,8,0
33,changing urban temperature and rainfall patterns in jakarta: a comprehensive historical analysis,"Maheng, D",SUSTAINABILITY,2024,10.3390/su16010350,WoS,8,0
34,"compound climate extremes in china: trends, causes, and projections","Yu, YF",ATMOSPHERIC RESEARCH,2023,10.1016/j.atmosres.2023.106675,WoS,7,0
35,spatiotemporal changes in universal thermal climate index in the middle east and north africa,"Hamed, MM",ATMOSPHERIC RESEARCH,2023,10.1016/j.atmosres.2023.107008,WoS,7,0
36,urbanization-induced changes in extreme climate indices in thailand during 1970-2019,"Pimonsree, S",ATMOSPHERIC RESEARCH,2022,10.1016/j.atmosres.2021.105882,WoS,7,0
37,assessing exposure to climate extremes over the arabian peninsula using era5 reanalysis data: spatial distribution and temporal trends,"Al-Sakkaf, AS",ATMOSPHERIC RESEARCH,2024,10.1016/j.atmosres.2024.107224,WoS,7,0
38,"interaction between heat wave and urban heat island: a case study in a tropical coastal city, singapore","Chew, LW",ATMOSPHERIC RESEARCH,2021,10.1016/j.atmosres.2020.105134,WoS,7,1
39,probing into the radiative mechanisms and drivers influencing urban heat-cold islands and urban pollution islands during heavy-haze events in a cold megacity of northeast china,"Yabo, SD",ATMOSPHERIC RESEARCH,2024,10.1016/j.atmosres.2024.107259,WoS,7,0
40,spatiotemporal changes in universal thermal climate index over south asia,"Kyaw, AK",ATMOSPHERIC RESEARCH,2023,10.1016/j.atmosres.2023.106838,WoS,7,1
41,cooling effect and heat index (hi) assessment on car cabin cooler powered by solar panel in parked car,"Setiyo, M",CASE STUDIES IN THERMAL ENGINEERING,2021,10.1016/j.csite.2021.101386,WoS,6,0
42,experimental study on the thermal performance of a battery thermal management system using heat pipes,"Mbulu, H",CASE STUDIES IN THERMAL ENGINEERING,2021,10.1016/j.csite.2021.101029,WoS,6,0
43,performance enhancement of photovoltaic modules with passive cooling multidirectional tapered fin heat sinks (mtfhs),"Razali, SN",CASE STUDIES IN THERMAL ENGINEERING,2023,10.1016/j.csite.2023.103400,WoS,6,0
44,thermal examination of renewable solar energy in parabolic trough solar collector utilizing maxwell nanofluid: a noble case study,"Jamshed, W",CASE STUDIES IN THERMAL ENGINEERING,2021,10.1016/j.csite.2021.101258,WoS,6,0
45,thermal humidity risk assessment in high-temperature environment of mines based on uncertainty measurement theory,"Shu, HM",CASE STUDIES IN THERMAL ENGINEERING,2023,10.1016/j.csite.2023.103401,WoS,6,0
46,improving the thermal efficiency of a solar flat plate collector using mwcnt-fe3o4/water hybrid nanofluids and ensemble machine learning,"Said, Z",CASE STUDIES IN THERMAL ENGINEERING,2022,10.1016/j.csite.2022.102448,WoS,6,0
47,"vulnerability of australia to heatwaves: a systematic review on influencing factors, impacts, and mitigation options","Adnan, MSG",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2022.113703,WoS,6,1
48,heat-health action planning in the who european region: status and policy implications,"Martinez, GS",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2022.113709,WoS,6,0
49,evaluating the effectiveness of labor protection policy on occupational injuries caused by extreme heat in a large subtropical city of china,"Su, YA",ENVIRONMENTAL RESEARCH,2020,10.1016/j.envres.2020.109532,WoS,6,0
50,"climate change impacts and disaster resilience among micro businesses in the tourism and hospitality sector: the case of kratie, cambodia","Ngin, C",ENVIRONMENTAL RESEARCH,2020,10.1016/j.envres.2020.109557,WoS,6,0
51,population management in an urban center using the dynamic integrated solution for an adequate atmospheric environmental quality,"Chai, N",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2021.112482,WoS,6,0
52,daily temperature effects on under-five mortality in a tropical climate country and the role of local characteristics,"Phung, VLH",ENVIRONMENTAL RESEARCH,2023,10.1016/j.envres.2022.114988,WoS,6,0
53,main and added effects of heatwaves on hospitalizations for mental and behavioral disorders in a tropical megacity of vietnam,"Dang, TN",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-19898-1,WoS,6,1
54,impacts of and adaptation to climate change on the oil palm in malaysia: a systematic review,"Abubakar, A",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-15890-3,WoS,6,0
55,"the protective effect of green space on heat-related respiratory hospitalization among children under 5 years of age in hanoi, vietnam","Nguyen, VT",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-21064-6,WoS,6,0
56,"the association between temperature and cause-specific mortality in the klang valley, malaysia","Yatim, ANM",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-14962-8,WoS,6,1
57,how temperature shocks impact energy poverty in vietnam: mediating role of financial development and environmental consideration,"Que, ND",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-19672-3,WoS,6,0
58,"the potential effects of temperature on outpatient visits: a case study in chiang mai, thailand","Chaichana, K",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-15512-y,WoS,6,0
59,urban ventilation assessment with improved vertical wind profile in high-density cities-investigations in nighttime extreme heat,"He, YY",BUILDING AND ENVIRONMENT,2022,10.1016/j.buildenv.2022.109018,WoS,5,0
60,application of gagge's energy balance model to determine humidity-dependent temperature thresholds for healthy adults using electric fans during heatwaves,"Tartarini, F",BUILDING AND ENVIRONMENT,2022,10.1016/j.buildenv.2021.108437,WoS,5,0
61,mitigating intensity of urban heat island by better understanding on urban morphology and anthropogenic heat dispersion,"Yuan, C",BUILDING AND ENVIRONMENT,2020,10.1016/j.buildenv.2020.106876,WoS,5,0
62,characteristic analysis and improvement methods of the indoor thermal environment in post-disaster temporary residential buildings: a systematic review,"Qin, MY",BUILDING AND ENVIRONMENT,2023,10.1016/j.buildenv.2023.110198,WoS,5,0
63,urban buoyancy-driven air flow and modelling method: a critical review,"Mei, SJ",BUILDING AND ENVIRONMENT,2022,10.1016/j.buildenv.2021.108708,WoS,5,0
64,heatwaves in peninsular malaysia: a spatiotemporal analysis,"Muhammad, MKI",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-53960-x,WoS,5,1
65,extreme temperature increases the risk of stillbirth in the third trimester of pregnancy,"Yang, HY",SCIENTIFIC REPORTS,2022,10.1038/s41598-022-23155-3,WoS,5,0
66,genome-wide analysis of the <i>hsp101/clpb</i> gene family for heat tolerance in hexaploid wheat,"Erdayani, E",SCIENTIFIC REPORTS,2020,10.1038/s41598-020-60673-4,WoS,5,0
67,characterizing the highest tropical cyclone frequency in the western north pacific since 1984,"Basconcillo, J",SCIENTIFIC REPORTS,2021,10.1038/s41598-021-93824-2,WoS,5,0
68,a unifying model to estimate the effect of heat stress in the human innate immunity during physical activities,"Presbitero, A",SCIENTIFIC REPORTS,2021,10.1038/s41598-021-96191-0,WoS,5,0
69,effect of the near-future climate change under rcp8.5 on the heat stress and associated work performance in thailand,"Amnuaylojaroen, T",ATMOSPHERE,2022,10.3390/atmos13020325,WoS,4,0
70,"climate trends and extremes in the indus river basin, pakistan: implications for agricultural production","Heureux, AMC",ATMOSPHERE,2022,10.3390/atmos13030378,WoS,4,0
71,future changes in high and low flows under the impacts of climate and land use changes in the jiulong river basin of southeast china,"Yang, SY",ATMOSPHERE,2022,10.3390/atmos13020150,WoS,4,0
72,editorial: opening the black box of kelps: response of early life stages to anthropogenic stressors,"Martins, N",FRONTIERS IN MARINE SCIENCE,2023,10.3389/fmars.2022.1133857,WoS,4,0
73,summer heatwave impacts on the european kelp <i>saccharina latissima</i> across its latitudinal distribution gradient,"Diehl, N",FRONTIERS IN MARINE SCIENCE,2021,10.3389/fmars.2021.695821,WoS,4,0
74,extreme sea-surface cooling induced by eddy heat advection during tropical cyclone in the north western pacific ocean,"Qiu, CH",FRONTIERS IN MARINE SCIENCE,2021,10.3389/fmars.2021.726306,WoS,4,0
75,"spatial variation in thermal stress experienced by barnacles on rocky shores: the interplay between geographic variation, tidal cycles and microhabitat temperatures","Wang, HY",FRONTIERS IN MARINE SCIENCE,2020,10.3389/fmars.2020.00553,WoS,4,0
76,analysis of heatwaves based on the universal thermal climate index and apparent temperature over mainland southeast asia,"Liu, LLJ",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2023,10.1007/s00484-023-02562-9,WoS,4,1
77,spatial patterns of health vulnerability to heatwaves in vietnam,"Tran, DN",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2020,10.1007/s00484-020-01876-2,WoS,4,0
78,public transit infrastructure and heat perceptions in hot and dry climates,"Dzyuban, Y",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2022,10.1007/s00484-021-02074-4,WoS,4,0
79,"subseasonal prediction for bloom dates of tart cherries in utah and michigan, usa: merging phenological models with cfsv2 forecast","Promchote, P",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2020,10.1007/s00484-020-02005-9,WoS,4,0
80,the impact of heatwaves on mortality and morbidity and the associated vulnerability factors: a systematic review,"Arsad, FS",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph192316356,WoS,4,0
81,"the malay-version knowledge, risk perception, attitude and practice questionnaire on heatwaves: development and construct validation","Arsad, FS",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19042279,WoS,4,0
82,fundamental concepts of human thermoregulation and adaptation to heat: a review in the context of global warming,"Lim, CL",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2020,10.3390/ijerph17217795,WoS,4,0
83,the mortality effect of apparent temperature: a multi-city study in asia,"Cao, R",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2021,10.3390/ijerph18094675,WoS,4,0
84,modeling the influences of layouts of residential townhouses and tree-planting patterns on outdoor thermal comfort in bangkok suburb,"Srivanit, M",JOURNAL OF BUILDING ENGINEERING,2020,10.1016/j.jobe.2020.101262,WoS,4,0
85,optimizing building energy performance predictions: a comparative study of artificial intelligence models,"Alawi, OA",JOURNAL OF BUILDING ENGINEERING,2024,10.1016/j.jobe.2024.109247,WoS,4,0
86,interaction of silica fume on flexural properties of 10 mm-thickness geopolymers based on fly ash and ladle furnace slag under the thermal conditions,"Yong-Sing, N",JOURNAL OF BUILDING ENGINEERING,2023,10.1016/j.jobe.2023.106331,WoS,4,0
87,thermal analysis of sustainable and micro-filler basalt reinforced polymer biocomposites for lightweight applications,"Jagadeesh, P",JOURNAL OF BUILDING ENGINEERING,2023,10.1016/j.jobe.2023.107869,WoS,4,0
88,laser-assisted high speed machining of 316 stainless steel: the effect of water-soluble sago starch based cutting fluid on surface roughness and tool wear,"Yasmin, F",MATERIALS,2021,10.3390/ma14051311,WoS,4,0
89,effect of ranque-hilsch vortex tube cooling to enhance the surface-topography and tool-wear in sustainable turning of al-5.6zn-2.5mg-1.6cu-0.23cr-t6 aerospace alloy,"Singh, J",MATERIALS,2022,10.3390/ma15165681,WoS,4,0
90,concrete performance attenuation of mix nano-sio<sub>2</sub> and nano-caco<sub>3</sub> under high temperature: a comprehensive review,"Syamsunur, D",MATERIALS,2022,10.3390/ma15207073,WoS,4,0
91,interaction of geopolymer filler and alkali molarity concentration towards the fire properties of glass-reinforced epoxy composites fabricated using filament winding technique,"Abu Hashim, MF",MATERIALS,2022,10.3390/ma15186495,WoS,4,0
92,prediction of heat waves using meteorological variables in diverse regions of iran with advanced machine learning models,"Asadollah, SBHS",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2022,10.1007/s00477-021-02103-z,WoS,4,0
93,prediction of heat waves over pakistan using support vector machine algorithm in the context of climate change,"Khan, N",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2021,10.1007/s00477-020-01963-1,WoS,4,0
94,spatiotemporal changes in hourly wet bulb globe temperature in peninsular malaysia,"Houmsi, MR",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2023,10.1007/s00477-023-02396-2,WoS,4,1
95,spatiotemporal variability of drought and affected croplands in the horn of africa,"Alasow, AA",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2024,10.1007/s00477-023-02575-1,WoS,4,0
96,spatiotemporal changes in population exposure to heat stress in south asia,"Kyaw, AK",SUSTAINABLE CITIES AND SOCIETY,2023,10.1016/j.scs.2023.104544,WoS,4,0
97,how do disparate urbanization and climate change imprint on urban thermal variations? a comparison between two dynamic cities in southeast asia,"Nguyen, CT",SUSTAINABLE CITIES AND SOCIETY,2022,10.1016/j.scs.2022.103882,WoS,4,0
98,impact of urban canyon geometries on outdoor thermal comfort in central business districts,"Deng, JY",SUSTAINABLE CITIES AND SOCIETY,2020,10.1016/j.scs.2019.101966,WoS,4,0
99,a review of traditional multistage roofs design and performance in vernacular buildings in myanmar,"Zune, M",SUSTAINABLE CITIES AND SOCIETY,2020,10.1016/j.scs.2020.102240,WoS,4,0
100,detailed trend analysis of extreme climate indices in the upper geum river basin,"Felix, ML",WATER,2021,10.3390/w13223171,WoS,4,0
101,"assessment of hydrological response to climatic variables over the hindu kush mountains, south asia","Masood, MU",WATER,2023,10.3390/w15203606,WoS,4,0
102,"effects of extreme-ambient temperatures in silver barb (<i>barbonymus gonionotus</i>): metabolic, hemato-biochemical responses, enzymatic activity and gill histomorphology","Mazumder, SK",WATER,2024,10.3390/w16020292,WoS,4,0
103,impact of el nino on oil palm yield in malaysia,"Khor, JF",AGRONOMY-BASEL,2021,10.3390/agronomy11112189,WoS,3,0
104,analysis of weed communities in solar farms located in tropical areas-the case of malaysia,"Ya'acob, ME",AGRONOMY-BASEL,2022,10.3390/agronomy12123073,WoS,3,0
105,statistical analysis versus the m5p machine learning algorithm to analyze the yield of winter wheat in a long-term fertilizer experiment,"Thai, TH",AGRONOMY-BASEL,2020,10.3390/agronomy10111779,WoS,3,0
106,heatwaves in southeast asia and their changes in a warmer world,"Dong, ZZ",EARTHS FUTURE,2021,10.1029/2021EF001992,WoS,3,1
